,Date,Date_local,pool_price,h,cos_h,sin_h,week,cos_w,sin_w,month,cos_m,sin_m,workday
4795,2022-07-19 18:00:00+00:00,2022-07-19 20:00:00+02:00,826.5724999999999,20,0.6825531432186541,-0.730835964278124,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4796,2022-07-19 19:00:00+00:00,2022-07-19 21:00:00+02:00,675.9174999999999,21,0.8544194045464886,-0.5195839500354336,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4797,2022-07-19 20:00:00+00:00,2022-07-19 22:00:00+02:00,569.415,22,0.962917287347799,-0.2697967711570252,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4798,2022-07-19 21:00:00+00:00,2022-07-19 23:00:00+02:00,414.5695,23,1.0,-2.4492935982947064e-16,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4799,2022-07-19 22:00:00+00:00,2022-07-20 00:00:00+02:00,389.1075,0,1.0,0.0,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4800,2022-07-19 23:00:00+00:00,2022-07-20 01:00:00+02:00,350.784,1,0.9629172873477994,0.2697967711570243,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4801,2022-07-20 00:00:00+00:00,2022-07-20 02:00:00+02:00,340.2135,2,0.8544194045464886,0.5195839500354336,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4802,2022-07-20 01:00:00+00:00,2022-07-20 03:00:00+02:00,343.4905,3,0.6825531432186541,0.730835964278124,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4803,2022-07-20 02:00:00+00:00,2022-07-20 04:00:00+02:00,342.1855,4,0.4600650377311522,0.8878852184023752,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4804,2022-07-20 03:00:00+00:00,2022-07-20 05:00:00+02:00,406.1304999999999,5,0.20345601305263375,0.9790840876823229,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4805,2022-07-20 04:00:00+00:00,2022-07-20 06:00:00+02:00,546.6935,6,-0.06824241336467088,0.9976687691905392,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4806,2022-07-20 05:00:00+00:00,2022-07-20 07:00:00+02:00,616.3515,7,-0.33487961217098616,0.9422609221188205,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4807,2022-07-20 06:00:00+00:00,2022-07-20 08:00:00+02:00,571.967,8,-0.5766803221148671,0.8169698930104421,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4808,2022-07-20 07:00:00+00:00,2022-07-20 09:00:00+02:00,484.43049999999994,9,-0.7757112907044197,0.631087944326053,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
